NAME,ORG_NAME,VPN_PROFILE
NV-WC01-N1-HKG,Colt,Colt-PostStaging
NV-WC01-N1-HKG,Colt,INT-WAN-NV-WC01-N1-HKG-StagingIpsec
NV-WC01-N3-GGN,Colt,INT-WAN-NV-WC01-N3-GGN-StagingIpsec
NV-WC01-N3-GGN,Colt,providerIpsec
NV-WC01-N5-LON,Colt,Colt-PostStaging
NV-WC01-N5-LON,Colt,INT-WAN-NV-WC01-N5-LON-StagingIpsec
NV-WC01-N5-LON,Colt,MPLS-WAN-NV-WC01-N5-LON-StagingIpsec
NV-WC01-N5-LON,Colt,NV-WC01-N5-LON-to-NV-WC01-N1-HKG-Profile
NV-WC01-N6-SIN,Colt,Colt-PostStaging
NV-WC01-N6-SIN,Colt,INT-WAN-NV-WC01-N6-SIN-StagingIpsec
NV-CGW21-N5-LON,Colt,providerIpsec-GW-CTRL1
NV-CGW22-N5-LON,Colt,providerIpsec-GW-CTRL1
NV-GW-BR-LON,Colt,providerIpsec-GW-CTRL1
NV-GW01-N1-HKG,Colt,providerIpsec-GW-CTRL1
NV-GW01-N3-GGN,Colt,providerIpsec-GW-CTRL1
NV-GW01-N5-LON,Colt,providerIpsec-GW-CTRL1
NV-GW01-N6-SIN,Colt,providerIpsec-GW-CTRL1
NV-GW02-N1-HKG,Colt,providerIpsec-GW-CTRL1
NV-GW02-N3-GGN,Colt,providerIpsec-GW-CTRL1
NV-GW02-N5-LON,Colt,providerIpsec-GW-CTRL1
NV-GW02-N6-SIN,Colt,providerIpsec-GW-CTRL1
CPE-17-LON-DUAL-HYBRID-MPLS,IPC00012,NV-WC01-N5-LON-Profile
CPE-18-LON-DUAL-HYBRID-INT,IPC00012,NV-WC01-N5-LON-Profile
CPE19,IPC00012,NV-WC01-N1-HKG-Profile
CPE20,IPC00012,NV-WC01-N6-SIN-Profile
NV-WC01-N1-HKG,IPC00012,IPC00012-PostStaging
NV-WC01-N5-LON,IPC00012,IPC00012-PostStaging
NV-WC01-N5-LON,IPC00012,NV-WC01-N5-LON-to-NV-WC01-N1-HKG-Profile
NV-WC01-N6-SIN,IPC00012,IPC00012-PostStaging
NV-WC01-N6-SIN,IPC00012,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-CGW21-N5-LON,IPC00012,GW-CTRL1
NV-CGW22-N5-LON,IPC00012,GW-CTRL1
NV-GW-BR-LON,IPC00012,GW-CTRL1
NV-GW01-N5-LON,IPC00012,GW-CTRL1
NV-GW02-N5-LON,IPC00012,GW-CTRL1
NV-GW-BR-LON,IPC00013,NV-WC01-N5-LON-Profile
NV-WC01-N1-HKG,IPC00013,IPC00013-PostStaging
NV-WC01-N5-LON,IPC00013,IPC00013-PostStaging
NV-WC01-N5-LON,IPC00013,NV-WC01-N5-LON-to-NV-WC01-N1-HKG-Profile
NV-WC01-N6-SIN,IPC00013,IPC00013-PostStaging
NV-WC01-N6-SIN,IPC00013,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-CGW21-N5-LON,IPC00013,GW-CTRL1
NV-CGW22-N5-LON,IPC00013,GW-CTRL1
NV-GW01-N5-LON,IPC00013,GW-CTRL1
NV-GW02-N5-LON,IPC00013,GW-CTRL1
NV-WC01-N3-GGN,IPC000151,IPC000151-PostStaging
NV-GW-BR-LON,IPC00022,NV-WC01-N5-LON-Profile
NV-WC01-N1-HKG,IPC00022,IPC00022-PostStaging
NV-WC01-N5-LON,IPC00022,IPC00022-PostStaging
NV-WC01-N5-LON,IPC00022,NV-WC01-N5-LON-to-NV-WC01-N1-HKG-Profile
NV-WC01-N6-SIN,IPC00022,IPC00022-PostStaging
NV-WC01-N6-SIN,IPC00022,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-CGW21-N5-LON,IPC00022,GW-CTRL1
NV-CGW22-N5-LON,IPC00022,GW-CTRL1
NV-WC01-N3-GGN,IPC00130,IPC00130-PostStaging
NV-GW01-N3-GGN,IPC00130,GW-CTRL1
NV-GW02-N3-GGN,IPC00130,GW-CTRL1
NV-WC01-N3-GGN,IPC00141,IPC00141-PostStaging
NV-GW01-N3-GGN,IPC00141,GW-CTRL1
NV-GW01-N6-SIN,IPC00141,GW-CTRL1
NV-GW02-N6-SIN,IPC00141,GW-CTRL1
NV-WC01-N3-GGN,IPC00142,IPC00142-PostStaging
NV-GW01-N3-GGN,IPC00142,GW-CTRL1
NV-GW02-N3-GGN,IPC00142,GW-CTRL1
NV-WC01-N3-GGN,IPC00143,IPC00143-PostStaging
NV-GW01-N3-GGN,IPC00143,GW-CTRL1
NV-GW02-N3-GGN,IPC00143,GW-CTRL1
NV-WC01-N3-GGN,IPC00144,IPC00144-PostStaging
NV-GW01-N3-GGN,IPC00144,GW-CTRL1
NV-GW02-N3-GGN,IPC00144,GW-CTRL1
NV-WC01-N3-GGN,IPC00145,IPC00145-PostStaging
NV-GW01-N3-GGN,IPC00145,GW-CTRL1
NV-GW02-N3-GGN,IPC00145,GW-CTRL1
NV-WC01-N3-GGN,IPC00152,IPC00152-PostStaging
