Device,ORG,Check_Result
NV-GW-BR-LON,IPC00012,BGP nbr check failed. BGP established nbr  count:1
NV-GW01-N5-LON,IPC00012,BGP nbr check passed.BGP established nbr  count:2
NV-GW02-N5-LON,IPC00012,BGP nbr check passed.BGP established nbr  count:2
NV-WC02-N6-SIN,IPC00012,"Ping,connect,sync CHECK passed."
CPE19,IPC00012,BGP nbr check passed.BGP established nbr  count:2
NV-WC02-N1-HKG,IPC00012,"Ping,connect,sync CHECK passed."
NV-CGW22-N5-LON,IPC00012,BGP nbr check passed.BGP established nbr  count:2
CPE-18-LON-DUAL-HYBRID-INT,IPC00012,BGP nbr check failed. BGP established nbr  count:1
NV-WC02-N5-LON,IPC00012,"Ping,connect,sync CHECK passed."
CPE-17-LON-DUAL-HYBRID-MPLS,IPC00012,BGP nbr check failed. BGP established nbr  count:1
NV-CGW21-N5-LON,IPC00012,BGP nbr check passed.BGP established nbr  count:2
CPE20,IPC00012,BGP nbr check passed.BGP established nbr  count:2
NV-GW-BR-LON,IPC00013,BGP nbr check passed.BGP established nbr  count:2
NV-CGW21-N5-LON,IPC00013,BGP nbr check passed.BGP established nbr  count:2
NV-GW02-N5-LON,IPC00013,BGP nbr check passed.BGP established nbr  count:2
NV-GW01-N5-LON,IPC00013,BGP nbr check passed.BGP established nbr  count:2
NV-CGW22-N5-LON,IPC00013,BGP nbr check passed.BGP established nbr  count:2
