DEVICE_NAME,DEVICE_TYPE,NODE,GW_NUMBER,ORG_NAME,ORG_ID,INTERNET_INTERFACE,MPLS_INTERFACE,LCC,VXLAN_IP,ESP_IP,PAIRED_TVI_SUBNET,NNI1_INTERFACE_ADDRESS,NNI1_SUBNET,NNI1_GATEWAY_ADDRESS,AUTH_KEY,AUTH_STRING,LOG_COLLECTOR1_ADDRESS,LOG_COLLECTOR2_ADDRESS
NV-GW01-N2-BLR,GW,BLR,1,temporgname,temporgid,vni-0/1.454,vni-0/1.464,91,30.temporgid.2.1,40.temporgid.2.1,10.temporgid.47.64/30,193.temporgid.1.2,193.temporgid.1.0/30,193.temporgid.1.1,tempdevicename,tempdevicename@temporgname.com,10.91.116.71,10.91.116.72
NV-GW02-N2-BLR,GW,BLR,2,temporgname,temporgid,vni-0/1.455,vni-0/1.465,91,30.temporgid.2.2,40.temporgid.2.2,10.temporgid.47.64/30,193.temporgid.2.2,193.temporgid.2.0/30,193.temporgid.2.1,tempdevicename,tempdevicename@temporgname.com,10.91.116.71,10.91.116.72
NV-GW01-N4-MUM,GW,MUM,1,temporgname,temporgid,vni-0/1.411,vni-0/1.412,1091,30.temporgid.4.1,40.temporgid.4.1,10.temporgid.47.64/30,193.temporgid.9.2,193.temporgid.9.0/30,193.temporgid.9.1,tempdevicename,tempdevicename@temporgname.com,10.91.116.71,10.91.116.72
NV-GW02-N4-MUM,GW,MUM,2,temporgname,temporgid,vni-0/1.409,vni-0/1.410,1091,30.temporgid.4.2,40.temporgid.4.2,10.temporgid.47.64/30,193.temporgid.10.2,193.temporgid.10.0/30,193.temporgid.10.1,tempdevicename,tempdevicename@temporgname.com,10.91.116.71,10.91.116.72
NV-GW01-N5-LON,GW,LON,1,temporgname,temporgid,vni-0/1.396,vni-0/1.397,44,30.temporgid.6.1,40.temporgid.6.1,10.temporgid.47.64/30,193.temporgid.11.2,193.temporgid.11.0/30,193.temporgid.11.1,tempdevicename,tempdevicename@temporgname.com,10.91.116.71,10.91.116.72
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,GW_NUMBER,1,,,,,,,,,,,,
,,,,,CUSTOMER_ORG_NAME,AADEC,,,,,,,,,,,,
,,,,,CUSTOMER_ORG_ID,202,,,,,,,,,,,,
,,,,,INTERNET_INTERFACE,vni-0/1.454,,,,,,,,,,,,
,,,,,MPLS_INTERFACE,vni-0/1.464,,,,,,,,,,,,
,,,,,LCC,91,,,,,,,,,,,,
,,,,,VRF1_ID,2140,org_id * 10 + 120,,,,,,,,,,,
,,,,,VXLAN_TVI_INTERFACE,tvi-0/404,org_id * 2,,,,,,,,,,,
,,,,,VXLAN_ADDRESS,30.202.2.1,,,,,,,,,,,,
,,,,,ESP_TVI_INTERFACE,tvi-0/405,org_id * 2 + 1,,,,,,,,,,,
,,,,,ESP_ADDRESS,40.202.2.1,,,,,,,,,,,,
,,,,,PAIRED_TVI_INTERFACE1,tvi-0/2140,org_id * 10 + 120,,,,,,,,,,,
,,,,,PAIRED_TVI_INTERFACE2,tvi-0/4040,org_id * 10 + 2020,,,,,,,,,,,
,,,,,PTVI_INTERFACE1,ptvi404,org_id * 2,,,,,,,,,,,
,,,,,PTVI_INTERFACE2,ptvi405,org_id * 2 + 1,,,,,,,,,,,
,,,,,VNF_GATEWAY_HOSTNAME,NV-GW01-N2-BLR,,,,,,,,,,,,
,,,,,NNI1_VLAN,2140,org_id * 10 + 120 for GW1 and org_id * 10 +2020 for GW2,,,,,,,,,,,
,,,,,NNI1_INTERFACE_ADDRESS,193.202.1.2,,,,,,,,,,,,
,,,,,NNI1_SUBNET,193.202.1.0/30,,,,,,,,,,,,
,,,,,NNI1_GATEWAY_ADDRESS,193.202.1.1,,,,,,,,,,,,
,,,,,LOCAL_AUTH_KEY,1234,,,,,,,,,,,,
,,,,,LOCAL_AUTH_STRING,NV-GW01-N2-BLR@AADEC26.com,,,,,,,,,,,,
,,,,,WAN_CONTROLLER1_ESP_ADDRESS,10.202.64.23,,,,,,,,,,,,
,,,,,WAN_CONTROLLER2_ESP_ADDRESS,10.202.64.24,,,,,,,,,,,,
,,,,,WAN_CONTROLLER1_HOSTNAME,NV-WC01-N2-BLR,,,,,,,,,,,,
,,,,,WAN_CONTROLLER1_VXLAN_ADDRESS,10.202.0.23,,,,,,,,,,,,
,,,,,WAN_CONTROLLER2_HOSTNAME,NV-WC02-N2-BLR,,,,,,,,,,,,
,,,,,WAN_CONTROLLER2_VXLAN_ADDRESS,10.202.0.24,,,,,,,,,,,,
,,,,,WAN_CONTROLLER1_AUTH_KEY,1234,,,,,,,,,,,,
,,,,,WAN_CONTROLLER1_AUTH_STRING,NV-WC01-N2-BLR@AADEC26.com,,,,,,,,,,,,
,,,,,WAN_CONTROLLER2_AUTH_KEY,1234,,,,,,,,,,,,
,,,,,WAN_CONTROLLER2_AUTH_STRING,NV-WC02-N2-BLR@AADEC26.com,,,,,,,,,,,,
,,,,,LOG_COLLECTOR1_ADDRESS,10.91.116.71,,,,,,,,,,,,
,,,,,LOG_COLLECTOR2_ADDRESS,10.91.116.71,,,,,,,,,,,,
,,,,,LOCAL_AUTH_KEY,1234,,,,,,,,,,,,
,,,,,LOCAL_AUTH_STRING,NV-GW01-N2-BLR@AADEC26.com,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
