DEVICE_NAME,GW_NUMBER,ORG_NAME,ORG_ID,INTERNET_INTERFACE,MPLS_INTERFACE,LCC,VRF1_ID,VXLAN_TVI_INTERFACE,VXLAN_ADDRESS,ESP_TVI_INTERFACE,ESP_ADDRESS,PAIRED_TVI_INTERFACE1,PAIRED_TVI_INTERFACE2,PTVI_INTERFACE1,PTVI_INTERFACE2,VNF_GATEWAY_HOSTNAME,NNI1_VLAN,NNI1_INTERFACE_ADDRESS,NNI1_SUBNET,NNI1_GATEWAY_ADDRESS,LOCAL_AUTH_KEY,LOCAL_AUTH_STRING,WAN_CONTROLLER1_ESP_ADDRESS,WAN_CONTROLLER2_ESP_ADDRESS,WAN_CONTROLLER1_HOSTNAME,WAN_CONTROLLER1_VXLAN_ADDRESS,WAN_CONTROLLER2_HOSTNAME,WAN_CONTROLLER2_VXLAN_ADDRESS,WAN_CONTROLLER1_AUTH_KEY,WAN_CONTROLLER1_AUTH_STRING,WAN_CONTROLLER2_AUTH_KEY,WAN_CONTROLLER2_AUTH_STRING,LOG_COLLECTOR1_ADDRESS,LOG_COLLECTOR2_ADDRESS,LOCAL_AUTH_KEY,LOCAL_AUTH_STRING
NV-GW01-N2-BLR,1,AADEC26,202,vni-0/1.454,vni-0/1.464,91,2140,tvi-0/404,30.202.2.1,tvi-0/405,40.202.2.1,tvi-0/2140,tvi-0/4040,ptvi404,ptvi405,NV-GW01-N2-BLR,2140,193.202.1.2,193.202.1.0/30,193.202.1.1,1234,NV-GW01-N2-BLR@AADEC26.com,10.202.64.23,10.202.64.24,NV-WC01-N2-BLR,10.202.0.23,NV-WC02-N2-BLR,10.202.0.24,1234,NV-WC01-N2-BLR@AADEC26.com,1234,NV-WC02-N2-BLR@AADEC26.com,10.91.116.71,10.91.116.71,1234,NV-GW01-N2-BLR@AADEC26.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GW_NUMBER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CUSTOMER_ORG_NAME,AADEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CUSTOMER_ORG_ID,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,INTERNET_INTERFACE,vni-0/1.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MPLS_INTERFACE,vni-0/1.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LCC,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VRF1_ID,2140,org_id * 10 + 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VXLAN_TVI_INTERFACE,tvi-0/404,org_id * 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VXLAN_ADDRESS,30.202.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ESP_TVI_INTERFACE,tvi-0/405,org_id * 2 + 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ESP_ADDRESS,40.202.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PAIRED_TVI_INTERFACE1,tvi-0/2140,org_id * 10 + 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PAIRED_TVI_INTERFACE2,tvi-0/4040,org_id * 10 + 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PTVI_INTERFACE1,ptvi404,org_id * 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PTVI_INTERFACE2,ptvi405,org_id * 2 + 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VNF_GATEWAY_HOSTNAME,NV-GW01-N2-BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NNI1_VLAN,2140,org_id * 10 + 120 for GW1 and org_id * 10 +2020 for GW2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NNI1_INTERFACE_ADDRESS,193.202.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
