DEVICE_NAME,NODE,MANAGEMENT_NW_SUBNET,ESP_IP,VXLAN_IP,AUTH_STRING,AUTH_KEY,ORG_NAME,ORG_ID
NV-WC01-N2-BLR,BLR,10.91.140.0/22,10.temporgid.64.23,10.temporgid.0.23,tempdevicename@temporgname.com,tempdevicename,temporgname,temporgid
NV-WC02-N2-BLR,BLR,10.91.140.0/22,10.temporgid.64.24,10.temporgid.0.24,tempdevicename@temporgname.com,tempdevicename,temporgname,temporgid
NV-WC01-N4-MUM,MUM,10.91.140.0/22,10.temporgid.64.5,10.temporgid.0.5,tempdevicename@temporgname.com,tempdevicename,temporgname,temporgid
NV-WC02-N4-MUM,MUM,10.91.140.0/22,10.temporgid.64.6,10.temporgid.0.6,tempdevicename@temporgname.com,tempdevicename,temporgname,temporgid
NV-WC01-N5-LON,LON,10.91.140.0/22,10.temporgid.64.11,10.temporgid.0.11,tempdevicename@temporgname.com,tempdevicename,temporgname,temporgid
NV-WC02-N5-LON,LON,10.91.140.0/22,10.temporgid.64.10,10.temporgid.0.10,tempdevicename@temporgname.com,tempdevicename,temporgname,temporgid
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
DEVICE_NAME,,,,,,,,
WC_RR,,,,,,,,
DEVICE_TYPE,,,,,,,,
ORG_NAME,,,,,,,,
ORG_ID,,,,,,,,
MANAGEMENT_NW_SUBNET,,,,,,,,
LCC,,,,,,,,
ESP_TVI_INTERFACE,,,,,,,,
VNF_GATEWAY1_ESP_ADDRESS,,,,,,,,
VNF_GATEWAY2_ESP_ADDRESS,,,,,,,,
REMOTE_WC_ESP_IPs,,,,,,,,
CLIENT_WAN_CONTROLLER_AUTH_STRING,,,,,,,,
CLIENT_WAN_CONTROLLER_AUTH_KEY,,,,,,,,
WAN_CONTROLLER_AUTH_KEY,,,,,,,,
WAN_CONTROLLER_AUTH_STRING,,,,,,,,
VNF_GATEWAY1_AUTH_STRING,,,,,,,,
VNF_GATEWAY1_AUTH_KEY,,,,,,,,
VNF_GATEWAY2_AUTH_STRING,,,,,,,,
VNF_GATEWAY2_AUTH_KEY,,,,,,,,
LOCAL_WC_HOSTNAME,,,,,,,,
SERVER_WC_HOSTNAME,,,,,,,,
REMOTE_WAN_CONTROLLER_AUTH_KEY,,,,,,,,
REMOTE_WAN_CONTROLLER_AUTH_STRING,,,,,,,,
