DEVICE_NAME,WAN,PROFILE,IP,ID,KEY,ORG_NAME,TYPE
NV-WC01-N2-BLR,MPLS,,,,,Colt,email
NV-WC02-N2-BLR,MPLS,STAGING-MPLS,10.63.151.90,NV-WC02-N2-BLR@colt.net,NV-WC02-N2-BLR,Colt,email
NV-WC01-N4-MUM,MPLS,MPLS-WAN-NV-WC01-N4-MUM-StagingIpsec,10.83.153.225,NV-WC01-N4-MUM@colt.net,NV-WC01-N4-MUM,Colt,email
NV-WC02-N4-MUM,MPLS,MPLS-WAN-NV-WC02-N4-MUM-StagingIpsec,10.83.153.229,NV-WC02-N4-MUM@colt.net,NV-WC02-N4-MUM,Colt,email
NV-WC01-N2-BLR,INT,STAGING-INT,111.93.152.123,,,Colt,email
NV-WC02-N2-BLR,INT,STAGING-INT,10.63.130.90,NV-WC02-N2-BLR@colt.net,NV-WC02-N2-BLR,Colt,email
NV-WC01-N4-MUM,INT,INT-WAN-NV-WC01-N4-MUM-StagingIpsec,10.83.132.49,NV-WC01-N4-MUM@colt.net,NV-WC01-N4-MUM,Colt,email
NV-WC02-N4-MUM,INT,INT-WAN-NV-WC02-N4-MUM-StagingIpsec,10.83.132.53,NV-WC02-N4-MUM@colt.net,NV-WC02-N4-MUM,Colt,email
,,,,,,,
NV-WC01-N1-HKG,INT,INT-WAN-NV-WC01-N1-HKG-StagingIpsec,10.83.130.49,NV-WC01-N1-HKG@colt.net,1234,Colt,email
NV-WC01-N3-GGN,INT,INT-WAN-NV-WC01-N3-GGN-StagingIpsec,10.83.130.53,NV-WC01-N3-GGN@colt.net,1234,Colt,email
NV-WC01-N6-SIN,INT,INT-WAN-NV-WC01-N6-SIN-StagingIpsec,10.83.77.10,NV-WC01-N6-SIN@colt.net,1234,Colt,email
NV-WC02-N1-HKG,MPLS,MPLS-WAN-NV-WC02-N1-HKG-StagingIpsec,10.83.152.225,NV-WC02-N1-HKG@colt.net,1234,Colt,email
NV-WC02-N3-GGN,MPLS,MPLS-WAN-NV-WC02-N3-GGN-StagingIpsec,10.83.131.53,NV-WC02-N3-GGN@colt.net,1234,Colt,email
NV-WC02-N6-SIN,MPLS,MPLS-WAN-NV-WC02-N6-SIN-StagingIpsec,10.63.77.14,NV-WC02-N6-SIN@colt.net,1234,Colt,email
