DEVICE_NAME,DEVICE_TYPE,GW_NUMBER,ORG_NAME,ORG_ID,INTERNET_INTERFACE,MPLS_INTERFACE,LCC,VXLAN_ADDRESS,ESP_ADDRESS,PAIRED_TVI_SUBNET,VNF_GATEWAY_HOSTNAME,NO_OF_VRFS,NNI1_INTERFACE_ADDRESS,NNI1_SUBNET,NNI1_GATEWAY_ADDRESS,LOCAL_AUTH_KEY,LOCAL_AUTH_STRING,WAN_CONTROLLER1_ESP_ADDRESS,WAN_CONTROLLER2_ESP_ADDRESS,WAN_CONTROLLER1_HOSTNAME,WAN_CONTROLLER1_VXLAN_ADDRESS,WAN_CONTROLLER2_HOSTNAME,WAN_CONTROLLER2_VXLAN_ADDRESS,WAN_CONTROLLER1_AUTH_KEY,WAN_CONTROLLER1_AUTH_STRING,WAN_CONTROLLER2_AUTH_KEY,WAN_CONTROLLER2_AUTH_STRING,LOG_COLLECTOR1_ADDRESS,LOG_COLLECTOR2_ADDRESS,LOCAL_AUTH_KEY,LOCAL_AUTH_STRING
NV-GW01-N2-BLR,GW,1,AADEC26,202,vni-0/1.454,vni-0/1.464,91,30.202.2.1,40.202.2.1,10.63.47.64/30,NV-GW01-N2-BLR,1,193.202.1.2,193.202.1.0/30,193.202.1.1,1234,NV-GW01-N2-BLR@AADEC26.com,10.202.64.23,10.202.64.24,NV-WC01-N2-BLR,10.202.0.23,NV-WC02-N2-BLR,10.202.0.24,1234,NV-WC01-N2-BLR@AADEC26.com,1234,NV-WC02-N2-BLR@AADEC26.com,10.91.116.71,10.91.116.72,1234,NV-GW01-N2-BLR@AADEC26.com
NV-GW01-N2-BLR,GW,1,JAN18,217,vni-0/1.454,vni-0/1.464,91,30.217.2.1,40.217.2.1,10.63.47.64/30,NV-GW01-N2-BLR,1,193.217.1.2,193.217.1.0/30,193.217.1.1,1234,NV-GW01-N2-BLR@JAN18.com,10.217.64.23,10.217.64.24,NV-WC01-N2-BLR,10.217.0.23,NV-WC02-N2-BLR,10.217.0.24,1234,NV-WC01-N2-BLR@JAN18.com,1234,NV-WC02-N2-BLR@JAN18.com,10.91.116.71,10.91.116.72,1234,NV-GW01-N2-BLR@JAN18.com
NV-GW02-N2-BLR,GW,2,JAN18,217,vni-0/1.455,vni-0/1.465,91,30.217.2.2,40.217.2.2,10.63.47.64/30,NV-GW02-N2-BLR,1,193.217.2.2,193.217.2.0/30,193.217.2.1,1234,NV-GW01-N2-BLR@JAN18.com,10.217.64.23,10.217.64.24,NV-WC01-N2-BLR,10.217.0.23,NV-WC02-N2-BLR,10.217.0.24,1234,NV-WC01-N2-BLR@JAN18.com,1234,NV-WC02-N2-BLR@JAN18.com,10.91.116.71,10.91.116.72,1234,NV-GW01-N2-BLR@JAN18.com
NV-GW01-N4-MUM,GW,1,JAN18,217,vni-0/1.411,vni-0/1.412,1091,50.217.4.1,60.217.4.1,10.63.47.64/30,NV-GW01-N4-MUM,1,193.217.9.2,193.217.9.0/30,193.217.9.1,1234,NV-GW01-N4-MUM@JAN18.com,10.217.64.5,10.217.64.6,NV-WC01-N4-MUM,10.217.0.5,NV-WC02-N4-MUM,10.217.0.6,1234,NV-WC01-N4-MUM@JAN18.com,1234,NV-WC02-N4-MUM@JAN18.com,10.91.116.71,10.91.116.72,1234,NV-GW01-N4-MUM@JAN18.com
NV-GW02-N4-MUM,GW,2,JAN18,217,vni-0/1.409,vni-0/1.410,1091,50.217.4.2,60.217.4.2,10.63.47.64/30,NV-GW02-N4-MUM,1,193.217.10.2,193.217.10.0/30,193.217.10.1,1234,NV-GW02-N4-MUM@JAN18.com,10.217.64.5,10.217.64.6,NV-WC01-N4-MUM,10.217.0.5,NV-WC02-N4-MUM,10.217.0.6,1234,NV-WC01-N4-MUM@JAN18.com,1234,NV-WC02-N4-MUM@JAN18.com,10.91.116.71,10.91.116.72,1234,NV-GW02-N4-MUM@JAN18.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV-GW01-N2-BLR,GW,1,JAN23,110,vni-0/1.454,vni-0/1.464,91,30.110.2.1,40.110.2.1,10.63.47.64/30,NV-GW01-N2-BLR,1,193.110.1.2,193.110.1.0/30,193.110.1.1,1234,NV-GW01-N2-BLR@JAN23.com,10.110.64.23,10.110.64.24,NV-WC01-N2-BLR,10.110.0.23,NV-WC02-N2-BLR,10.110.0.24,1234,NV-WC01-N2-BLR@JAN23.com,1234,NV-WC02-N2-BLR@JAN23.com,10.91.116.71,10.91.116.72,1234,NV-GW01-N2-BLR@JAN23.com
NV-GW02-N2-BLR,GW,2,JAN23,110,vni-0/1.455,vni-0/1.465,91,30.110.2.2,40.110.2.2,10.63.47.64/30,NV-GW02-N2-BLR,1,193.110.2.2,193.110.2.0/30,193.110.2.1,1234,NV-GW01-N2-BLR@JAN23.com,10.110.64.23,10.110.64.24,NV-WC01-N2-BLR,10.110.0.23,NV-WC02-N2-BLR,10.110.0.24,1234,NV-WC01-N2-BLR@JAN23.com,1234,NV-WC02-N2-BLR@JAN23.com,10.91.116.71,10.91.116.72,1234,NV-GW01-N2-BLR@JAN23.com
NV-GW01-N4-MUM,GW,1,JAN23,110,vni-0/1.411,vni-0/1.412,1091,50.110.4.1,60.110.4.1,10.63.47.64/30,NV-GW01-N4-MUM,1,193.110.9.2,193.110.9.0/30,193.110.9.1,1234,NV-GW01-N4-MUM@JAN23.com,10.110.64.5,10.110.64.6,NV-WC01-N4-MUM,10.110.0.5,NV-WC02-N4-MUM,10.110.0.6,1234,NV-WC01-N4-MUM@JAN23.com,1234,NV-WC02-N4-MUM@JAN23.com,10.91.116.71,10.91.116.72,1234,NV-GW01-N4-MUM@JAN23.com
NV-GW02-N4-MUM,GW,2,JAN23,110,vni-0/1.409,vni-0/1.410,1091,50.110.4.2,60.110.4.2,10.63.47.64/30,NV-GW02-N4-MUM,1,193.110.10.2,193.110.10.0/30,193.110.10.1,1234,NV-GW02-N4-MUM@JAN23.com,10.110.64.5,10.110.64.6,NV-WC01-N4-MUM,10.110.0.5,NV-WC02-N4-MUM,10.110.0.6,1234,NV-WC01-N4-MUM@JAN23.com,1234,NV-WC02-N4-MUM@JAN23.com,10.91.116.71,10.91.116.72,1234,NV-GW02-N4-MUM@JAN23.com
